game_id	date	home_team	away_team	home_dc_attack	home_dc_defense	away_dc_attack	away_dc_defense	dc_lambda_home	dc_lambda_away	dc_expected_total	dc_home_edge	dc_fit_n_games	dc_halflife	dc_window_days	dc_min_games	dc_l2_penalty
632227	2021-04-10	Toronto Blue Jays	Los Angeles Angels	-0.35812985594659713	0.2371862172377607	0.9077538550313261	-0.11625841239636259	3.383	7.433	10.816	-4.05	106	60.0	365	100	0.05
634484	2021-04-10	Arizona Diamondbacks	Cincinnati Reds	0.0	-0.019800131785393034	0.7012163382688094	-0.15370088168328994	5.025	7.817	12.842	-2.793	106	60.0	365	100	0.05
634491	2021-04-10	Baltimore Orioles	Boston Red Sox	0.0008717238015665339	-0.5536817051589986	-0.6777453594327658	0.02257122781347483	4.216	3.358	7.574	0.858	106	60.0	365	100	0.05
634524	2021-04-10	Atlanta Braves	Philadelphia Phillies	0.32622449649894913	-0.3469844173414593	-0.7501036729646419	0.44341930829840304	3.832	2.54	6.372	1.292	106	60.0	365	100	0.05
632170	2021-04-11	Chicago White Sox	Kansas City Royals	-0.025487330801255217	0.6560172222275437	0.3549039199358625	-0.26097084240225915	6.167	3.085	9.252	3.082	120	60.0	365	100	0.05
632188	2021-04-11	San Francisco Giants	Colorado Rockies	-0.38008774581414045	0.7664755708888684	0.5161831792457043	-0.21762436407024854	4.142	3.246	7.388	0.897	120	60.0	365	100	0.05
632192	2021-04-11	New York Mets	Miami Marlins	-0.38006239959105764	-0.49207086884816476	-1.0518723864332302	0.15376268326657147	2.857	2.382	5.239	0.476	120	60.0	365	100	0.05
632196	2021-04-11	St. Louis Cardinals	Milwaukee Brewers	0.14790157453216052	-0.17849414197087868	-0.08002807873450088	0.01866660697708343	5.545	4.6	10.145	0.945	120	60.0	365	100	0.05
632200	2021-04-11	Baltimore Orioles	Boston Red Sox	0.08116742421766081	-0.5244699144076911	-0.5442165610166287	0.17401051215993205	4.441	4.087	8.528	0.354	120	60.0	365	100	0.05
632207	2021-04-11	Atlanta Braves	Philadelphia Phillies	-0.31882489368377137	0.18017079093970248	-0.3272441057491921	-0.1732929521746362	4.213	2.51	6.723	1.703	120	60.0	365	100	0.05
632209	2021-04-11	Arizona Diamondbacks	Cincinnati Reds	0.0	0.1013643939132381	0.3498676231445329	-0.17160139372387576	5.785	5.345	11.13	0.441	120	60.0	365	100	0.05
632214	2021-04-11	Los Angeles Dodgers	Washington Nationals	0.04894883751847505	0.5401636895809919	-0.0033531815580172294	-0.21353429604513924	6.336	2.421	8.756	3.915	120	60.0	365	100	0.05
632215	2021-04-11	Minnesota Twins	Seattle Mariners	-0.08939287396632163	0.6904589083821242	0.5700972220483117	-0.43361397208040003	6.875	3.696	10.571	3.179	120	60.0	365	100	0.05
632225	2021-04-11	Pittsburgh Pirates	Chicago Cubs	-0.386386699305335	-0.38434257329577515	-0.6547395827924797	-0.12245771460040034	3.743	3.181	6.924	0.562	120	60.0	365	100	0.05
632228	2021-04-11	Cleveland Indians	Detroit Tigers	-0.5928150248837837	0.8882317480110012	0.46881161574620234	-0.7275862103352272	5.576	2.741	8.317	2.835	120	60.0	365	100	0.05
632232	2021-04-11	Tampa Bay Rays	New York Yankees	0.2543699564200275	-0.954192840097535	-0.6497698583466309	0.2503813848894519	4.892	5.652	10.544	-0.76	120	60.0	365	100	0.05
632233	2021-04-11	Texas Rangers	San Diego Padres	0.083994633673544	-0.16549653467200817	0.07321343660450666	0.4509441159055917	3.376	5.293	8.669	-1.916	120	60.0	365	100	0.05
632197	2021-04-12	Kansas City Royals	Los Angeles Angels	0.44445453057711853	-0.1526022471900132	0.6086057900525993	-0.29766053378060103	11.076	10.0	21.076	1.077	133	60.0	365	100	0.05
632198	2021-04-12	Pittsburgh Pirates	San Diego Padres	-0.4306867048423403	-0.5831367912386239	0.019082125895558896	0.6635299328405495	1.766	8.53	10.295	-6.764	133	60.0	365	100	0.05
632203	2021-04-12	Toronto Blue Jays	New York Yankees	-0.09412790477690412	0.3693738900166226	-0.7876950214022576	0.316512670981978	3.498	1.469	4.966	2.029	133	60.0	365	100	0.05
632204	2021-04-12	Tampa Bay Rays	Texas Rangers	0.11184056528652556	-1.0179357273531595	0.004421939621414194	0.023361380093426656	5.761	12.984	18.745	-7.222	133	60.0	365	100	0.05
632216	2021-04-12	Chicago White Sox	Cleveland Indians	-0.1332686379534571	0.7436940348985203	-0.6333316796260606	0.9667148542724388	1.755	1.179	2.934	0.577	133	60.0	365	100	0.05
632219	2021-04-12	Atlanta Braves	Miami Marlins	-0.12934636595645596	-0.3642939066643414	-1.23546216396435	0.09208124851988726	4.226	1.955	6.181	2.271	133	60.0	365	100	0.05
632220	2021-04-12	Houston Astros	Detroit Tigers	-0.07297045555873778	0.5376276203696414	0.36871638572184195	-0.6695407525401562	9.576	3.945	13.521	5.631	133	60.0	365	100	0.05
632221	2021-04-12	Milwaukee Brewers	Chicago Cubs	-0.210333534649604	0.012271923832618036	-0.9817233171118581	-0.19393315419115356	5.188	1.729	6.916	3.459	133	60.0	365	100	0.05
632230	2021-04-12	St. Louis Cardinals	Washington Nationals	-0.03302479130889104	-0.42897835573518256	-0.6043232873562235	0.05998199803808341	4.805	3.92	8.725	0.885	133	60.0	365	100	0.05
632231	2021-04-12	Arizona Diamondbacks	Oakland Athletics	0.0	0.1409279484942058	0.07765027736027341	-0.30524443476291774	7.156	4.384	11.54	2.771	133	60.0	365	100	0.05
634648	2021-04-12	San Francisco Giants	Cincinnati Reds	-0.3889305167565067	0.9700438906675286	0.015810176944315236	-0.17464063539758765	4.256	1.799	6.055	2.458	133	60.0	365	100	0.05
632189	2021-04-13	New York Mets	Philadelphia Phillies	-0.23183322908827939	-0.5822111751490736	-0.45666578867081614	-0.06447249998667458	3.84	4.863	8.703	-1.022	144	60.0	365	100	0.05
632190	2021-04-13	Minnesota Twins	Boston Red Sox	0.059242153931915995	0.5347462257955945	0.14597183431348287	-0.06838803495644111	5.158	2.907	8.065	2.251	144	60.0	365	100	0.05
632194	2021-04-13	Milwaukee Brewers	Chicago Cubs	-0.08307175706258858	-0.021025060286378478	-0.7691913777160929	-0.21926326679163047	5.202	2.03	7.232	3.173	144	60.0	365	100	0.05
632199	2021-04-13	Chicago White Sox	Cleveland Indians	0.030471074264289754	0.5606291820405112	-0.24931577207577318	0.779619764921404	2.146	1.908	4.054	0.238	144	60.0	365	100	0.05
632206	2021-04-13	Arizona Diamondbacks	Oakland Athletics	0.0	-0.012724401179666037	0.2676299455057977	-0.39106910636826586	6.713	5.677	12.389	1.036	144	60.0	365	100	0.05
632210	2021-04-13	Kansas City Royals	Los Angeles Angels	0.29068883627052794	-0.19166036974124445	0.6430593160036039	-0.2323436178074156	7.66	9.882	17.542	-2.223	144	60.0	365	100	0.05
632211	2021-04-13	Atlanta Braves	Miami Marlins	-0.13478342825651232	-0.30886777466485643	-0.6930046409372744	-0.024434443982450225	4.066	2.921	6.987	1.145	144	60.0	365	100	0.05
632212	2021-04-13	Los Angeles Dodgers	Colorado Rockies	0.05559044453766882	0.4775741304540426	0.43287509080814845	-0.22888547314915045	6.034	4.101	10.135	1.933	144	60.0	365	100	0.05
632213	2021-04-13	Baltimore Orioles	Seattle Mariners	0.04006237952765916	-0.16424186938461666	0.6489838286431949	-0.3667031832642506	6.819	9.672	16.491	-2.853	144	60.0	365	100	0.05
632224	2021-04-13	Baltimore Orioles	Seattle Mariners	0.04006237952765916	-0.16424186938461666	0.6489838286431949	-0.3667031832642506	6.819	9.672	16.491	-2.853	144	60.0	365	100	0.05
632226	2021-04-13	New York Mets	Philadelphia Phillies	-0.23183322908827939	-0.5822111751490736	-0.45666578867081614	-0.06447249998667458	3.84	4.863	8.703	-1.022	144	60.0	365	100	0.05
632229	2021-04-13	Houston Astros	Detroit Tigers	-0.09970433608075221	0.48589160213689647	0.4265695097485225	-0.3758779062516908	5.984	4.042	10.026	1.942	144	60.0	365	100	0.05
634489	2021-04-13	Tampa Bay Rays	Texas Rangers	-0.014840895870145683	-0.37150231415886015	-0.12565386051439106	-0.07473622981010747	4.82	5.484	10.304	-0.664	144	60.0	365	100	0.05
634502	2021-04-13	St. Louis Cardinals	Washington Nationals	-0.02983425431683569	-0.35739569936538734	-0.3926447527783012	0.04078228049936745	4.23	4.14	8.371	0.09	144	60.0	365	100	0.05
634510	2021-04-13	San Francisco Giants	Cincinnati Reds	-0.46772669017347507	0.8087067026819262	0.18467719740078378	-0.18102852165384803	3.408	2.298	5.706	1.11	144	60.0	365	100	0.05
634535	2021-04-13	Pittsburgh Pirates	San Diego Padres	-0.34044280068486277	-0.5096674306421466	-0.017998143187297592	0.4909636027122116	1.977	7.012	8.989	-5.036	144	60.0	365	100	0.05
634569	2021-04-13	Toronto Blue Jays	New York Yankees	-0.06339298289536302	0.34109940351136353	-0.1486282746319549	0.23248990875415362	3.377	2.628	6.005	0.749	144	60.0	365	100	0.05
632223	2021-04-14	Minnesota Twins	Boston Red Sox	0.16958655632292108	0.5308077416001661	0.42734443818753765	-0.04848502957103476	5.309	3.605	8.914	1.703	161	60.0	365	100	0.05
634495	2021-04-14	Kansas City Royals	Los Angeles Angels	0.2743926076608979	0.009270572785014258	0.5866108092661501	-0.12762440352219676	6.381	7.123	13.503	-0.742	161	60.0	365	100	0.05
634496	2021-04-14	Tampa Bay Rays	Texas Rangers	-0.033301683787079546	-0.22515832178553666	0.08553424534046054	-0.08768863644652657	4.507	5.455	9.963	-0.948	161	60.0	365	100	0.05
634513	2021-04-14	Toronto Blue Jays	New York Yankees	0.07739017463368027	0.3655148365600562	0.06403665600969378	0.1294614511152647	4.052	2.958	7.01	1.094	161	60.0	365	100	0.05
634516	2021-04-14	Chicago White Sox	Cleveland Indians	0.18809898604773256	0.4508427101024839	-0.06194310764362795	0.9668282655991948	1.959	2.394	4.354	-0.435	161	60.0	365	100	0.05
634521	2021-04-14	Houston Astros	Detroit Tigers	-0.09080533573123346	0.35953007041476653	0.6452950314577247	-0.24256867658907436	4.968	5.321	10.289	-0.353	161	60.0	365	100	0.05
634523	2021-04-14	Pittsburgh Pirates	San Diego Padres	0.035030315293525315	-0.3973984004944328	-0.052228209292319784	0.36924605287384926	3.056	5.647	8.703	-2.591	161	60.0	365	100	0.05
634528	2021-04-14	New York Mets	Philadelphia Phillies	-0.20165078759068175	-0.5062198620825766	-0.7753451561151201	-0.09149115026468688	3.823	3.055	6.878	0.768	161	60.0	365	100	0.05
634541	2021-04-14	St. Louis Cardinals	Washington Nationals	0.18712948964386694	-0.265036293833859	-0.6094663517111321	-0.21810661811385187	6.401	2.833	9.235	3.568	161	60.0	365	100	0.05
634553	2021-04-14	Milwaukee Brewers	Chicago Cubs	0.07956823622856118	0.06197598061972512	-0.5692368947515738	0.05635938517734421	4.369	2.127	6.496	2.242	161	60.0	365	100	0.05
