date	away_team	home_team	total_runs	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	date_str	close_total_line	num_books	line_source	snapshot_ts	requested_snapshot_ts	commence_time	pinnacle_line	draftkings_line	fanduel_line	betmgm_line	actual_total	entry_total_line	hours_to_first_pitch	market_adjusted_total	market_adjustment_method	market_shrink_fraction	p_over	p_under	edge	abs_edge	confidence	bet	actual_over_entry	bet_won_entry	closing_total_line	open_total_line	closing_line_source	closing_num_books	closing_snapshot_ts	closing_commence_time	selection_reason	close_move	clv_runs	beat_close	matched_closing_line	actual_over_close	evaluation_month
2022-07-26	New York Yankees	New York Mets	9	7.78404755338802	4.6282053	0.3705472588539124	0.4531084858014912	2022-07-26	8.0	4	oddsapi_snapshot	2022-07-26 21:55:00+00:00	2022-07-26 22:00:00+00:00	2022-07-26 23:11:00+00:00	8.0	8.0	8.0	7.5	9	8.0	1.2666666666666666	7.181382270823917	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8186177291760828	0.8186177291760828	0.5701970443349753	UNDER	True	False	8.0		oddsapi	4.0	2022-07-26 21:55:00+00:00	2022-07-26 23:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-26	Pittsburgh Pirates	Chicago Cubs	6	9.14950212181049	4.5294166	0.4638901174068451	0.3957026325300068	2022-07-26	8.5	4	oddsapi_snapshot	2022-07-26 15:55:00+00:00	2022-07-26 16:00:00+00:00	2022-07-26 18:21:00+00:00	8.5	8.5	8.5	8.5	6	8.5	2.433333333333333	9.635306389659679	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1353063896596787	1.1353063896596787	0.5989583333333331	OVER	False	False	8.25		oddsapi	4.0	2022-07-25 21:55:00+00:00	2022-07-26 00:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	-0.25	-0.25	False	True	0.0	2022-07
2022-07-26	San Diego Padres	Detroit Tigers	10	7.51140224724371	4.8349953	0.36846527457237244	0.46066950784471933	2022-07-26	8.0	4	oddsapi_snapshot	2022-07-26 21:55:00+00:00	2022-07-26 22:00:00+00:00	2022-07-26 23:11:00+00:00	8.0	8.0	8.0	8.0	10	8.0	1.2666666666666666	7.144806119803493	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.8551938801965067	0.8551938801965067	0.5701970443349753	UNDER	True	False	8.0		oddsapi	4.0	2022-07-26 21:55:00+00:00	2022-07-26 23:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-26	Tampa Bay Rays	Baltimore Orioles	8	8.96344417209337	4.737892	0.4285623490810394	0.4116787456109852	2022-07-26	7.5	4	oddsapi_snapshot	2022-07-26 21:55:00+00:00	2022-07-26 22:00:00+00:00	2022-07-26 23:06:00+00:00	7.5	7.5	7.5	7.5	8	7.5	1.1833333333333333	9.14322444014919	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.64322444014919	1.64322444014919	0.5989583333333331	OVER	True	True	7.5		oddsapi	4.0	2022-07-26 21:55:00+00:00	2022-07-26 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-27	Los Angeles Angels	Kansas City Royals	4	9.162480542896006	5.2468834	0.4710573196411133	0.39561438785341685	2022-07-27	8.5	4	oddsapi_snapshot	2022-07-27 15:55:00+00:00	2022-07-27 16:00:00+00:00	2022-07-27 18:11:00+00:00	8.5	8.5	8.5	8.5	4	8.5	2.2666666666666666	9.81514073848713	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.3151407384871305	1.3151407384871305	0.5989583333333331	OVER	False	False	8.75		oddsapi	4.0	2022-07-26 21:55:00+00:00	2022-07-27 00:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.25	0.25	True	True	0.0	2022-07
2022-07-27	San Diego Padres	Detroit Tigers	7	7.637886834703028	4.861498	0.37220448851585386	0.4594146452977986	2022-07-27	7.0	4	oddsapi_snapshot	2022-07-27 15:55:00+00:00	2022-07-27 16:00:00+00:00	2022-07-27 17:11:00+00:00	7.5	7.0	7.0	7.0	7	7.0	1.2666666666666666	5.9032670258834115	edge_model	0.0	0.41075794621026895	0.589242053789731	-1.0967329741165885	1.0967329741165885	0.589242053789731	UNDER	False	True	7.0		oddsapi	4.0	2022-07-27 15:55:00+00:00	2022-07-27 17:11:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-27	San Francisco Giants	Arizona Diamondbacks	8	8.35219328589982	4.597047	0.37856656312942505	0.4335584007337422	2022-07-27	8.0	4	oddsapi_snapshot	2022-07-27 15:55:00+00:00	2022-07-27 16:00:00+00:00	2022-07-27 19:41:00+00:00	8.0	8.0	8.0	8.0	8	8.0	3.7666666666666666	7.186893447553409	edge_model	0.0	0.42980295566502463	0.5701970443349753	-0.813106552446591	0.813106552446591	0.5701970443349753	UNDER	False	True	8.5		oddsapi	4.0	2022-07-27 00:55:00+00:00	2022-07-27 01:41:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.5	-0.5	False	True	0.0	2022-07
2022-07-27	Tampa Bay Rays	Baltimore Orioles	10	9.549613543876301	4.9334893	0.4843649387359619	0.38894505725649303	2022-07-27	8.5	4	oddsapi_snapshot	2022-07-27 21:55:00+00:00	2022-07-27 22:00:00+00:00	2022-07-27 23:06:00+00:00	8.5	8.5	8.5	8.0	10	8.5	1.1833333333333333	9.736587952498477	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.2365879524984766	1.2365879524984766	0.5989583333333331	OVER	True	True	8.5		oddsapi	4.0	2022-07-27 21:55:00+00:00	2022-07-27 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2022-07
2022-07-28	Detroit Tigers	Toronto Blue Jays	8	9.788219681851716	4.7443433	0.46583725810050963	0.41017023549822273	2022-07-28	10.0	4	oddsapi_snapshot	2022-07-28 21:55:00+00:00	2022-07-28 22:00:00+00:00	2022-07-28 23:08:00+00:00	10.0	10.0	10.0	10.0	8	10.0	1.2166666666666666	11.189178157657137	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.1891781576571372	1.1891781576571372	0.5989583333333331	OVER	False	False	10.0		oddsapi	4.0	2022-07-28 21:55:00+00:00	2022-07-28 23:08:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
2022-07-28	Kansas City Royals	New York Yankees	1	10.2152312382347	4.7656665	0.47009637355804446	0.3974212847783894	2022-07-28	8.5	4	oddsapi_snapshot	2022-07-28 21:55:00+00:00	2022-07-28 22:00:00+00:00	2022-07-28 23:06:00+00:00	8.5	8.5	8.5	8.5	1	8.5	1.1833333333333333	9.694522857017093	edge_model	0.0	0.5989583333333331	0.40104166666666685	1.194522857017093	1.194522857017093	0.5989583333333331	OVER	False	False	8.5		oddsapi	4.0	2022-07-28 21:55:00+00:00	2022-07-28 23:06:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2022-07
