min_kalshi_edge_pct	min_kalshi_confidence_pct	kelly_fraction	max_bet_pct	bets_placed	wins	losses	win_rate_pct	roi_pct	total_pnl	avg_edge_pct	avg_bet_amount	final_bankroll	bankroll_return_pct	max_drawdown_pct
2.0	55.0	0.05	2.0	105	64	41	61.0	23.94	3192.83	9.99	127.03	13192.83	31.93	-6.86
6.0	55.0	0.15	2.0	93	56	37	60.2	23.94	4442.56	11.25	199.56	14442.5	44.42	-10.82
2.0	55.0	0.1	5.0	105	64	41	61.0	23.9	6581.96	9.99	262.24	16581.99	65.82	-11.72
2.0	0.0	0.1	0.0	134	75	59	56.0	23.82	7242.12	8.18	226.87	17242.15	72.42	-10.78
0.0	55.0	0.15	5.0	108	66	42	61.1	23.82	9095.88	9.72	353.56	19095.84	90.96	-15.28
2.0	0.0	0.25	0.0	134	75	59	56.0	23.81	18093.33	8.18	567.16	28093.35	180.93	-20.74
2.0	0.0	0.15	0.0	134	75	59	56.0	23.8	10854.62	8.18	340.32	20854.59	108.55	-13.78
4.0	0.0	0.1	3.0	115	70	45	60.9	23.79	6121.29	9.38	223.77	16121.3	61.21	-11.13
6.0	0.0	0.05	3.0	98	58	40	59.2	23.79	3251.23	11.05	139.46	13251.21	32.51	-6.74
6.0	52.0	0.05	3.0	98	58	40	59.2	23.79	3251.23	11.05	139.46	13251.21	32.51	-6.74
2.0	0.0	0.05	5.0	134	75	59	56.0	23.77	3614.25	8.18	113.47	13614.24	36.14	-6.52
2.0	0.0	0.05	0.0	134	75	59	56.0	23.77	3614.25	8.18	113.47	13614.24	36.14	-6.52
4.0	55.0	0.15	2.0	101	61	40	60.4	23.75	4706.46	10.27	196.17	14706.4	47.06	-10.99
6.0	55.0	0.05	2.0	93	56	37	60.2	23.75	3038.88	11.25	137.58	13038.87	30.39	-6.86
2.0	55.0	0.15	5.0	105	64	41	61.0	23.73	9045.24	9.99	363.02	19045.19	90.45	-15.3
4.0	55.0	0.25	3.0	101	61	40	60.4	23.73	7109.93	10.27	296.64	17109.9	71.1	-15.05
6.0	55.0	0.1	5.0	93	56	37	60.2	23.72	6273.6	11.25	284.34	16273.62	62.74	-11.73
4.0	55.0	0.05	2.0	101	61	40	60.4	23.67	3126.9	10.27	130.82	13126.89	31.27	-6.9
4.0	55.0	0.1	5.0	101	61	40	60.4	23.64	6450.35	10.27	270.13	16450.38	64.5	-11.84
6.0	55.0	0.15	5.0	93	56	37	60.2	23.53	8583.78	11.25	392.32	18583.74	85.84	-15.31
4.0	55.0	0.25	2.0	101	61	40	60.4	23.49	4745.1	10.27	200.0	14745.03	47.45	-11.08
0.0	0.0	0.1	0.0	147	81	66	55.1	23.46	7190.73	7.49	208.53	17190.76	71.91	-10.8
0.0	55.0	0.25	5.0	108	66	42	61.1	23.45	11071.38	9.72	437.15	21071.34	110.71	-19.32
0.0	55.0	0.15	3.0	108	66	42	61.1	23.45	6643.53	9.72	262.29	16643.5	66.44	-13.8
0.0	55.0	0.1	2.0	108	66	42	61.1	23.45	4429.71	9.72	174.9	14429.69	44.3	-10.17
0.0	0.0	0.25	0.0	147	81	66	55.1	23.44	17961.98	7.49	521.32	27962.0	179.62	-20.74
4.0	55.0	0.15	5.0	101	61	40	60.4	23.44	8847.68	10.27	373.66	18847.65	88.48	-15.5
0.0	0.0	0.15	0.0	147	81	66	55.1	23.43	10774.61	7.49	312.82	20774.59	107.75	-13.82
0.0	0.0	0.05	5.0	147	81	66	55.1	23.41	3588.49	7.49	104.3	13588.49	35.88	-6.53
0.0	0.0	0.05	0.0	147	81	66	55.1	23.41	3588.49	7.49	104.3	13588.49	35.88	-6.53
0.0	55.0	0.1	3.0	108	66	42	61.1	23.35	5729.88	9.72	227.2	15729.89	57.3	-11.52
2.0	55.0	0.25	5.0	105	64	41	61.0	23.33	10986.68	9.99	448.57	20986.64	109.87	-19.36
2.0	55.0	0.15	3.0	105	64	41	61.0	23.33	6592.89	9.99	269.14	16592.86	65.93	-13.82
2.0	55.0	0.1	2.0	105	64	41	61.0	23.33	4395.65	9.99	179.47	14395.63	43.96	-10.18
0.0	60.0	0.1	0.0	71	41	30	57.7	23.31	5380.23	12.58	325.14	15380.24	53.8	-9.54
2.0	60.0	0.1	0.0	71	41	30	57.7	23.31	5380.23	12.58	325.14	15380.24	53.8	-9.54
4.0	60.0	0.1	0.0	71	41	30	57.7	23.31	5380.23	12.58	325.14	15380.24	53.8	-9.54
0.0	60.0	0.25	0.0	71	41	30	57.7	23.29	13444.75	12.58	812.9	23444.74	134.45	-20.74
2.0	60.0	0.25	0.0	71	41	30	57.7	23.29	13444.75	12.58	812.9	23444.74	134.45	-20.74
4.0	60.0	0.25	0.0	71	41	30	57.7	23.29	13444.75	12.58	812.9	23444.74	134.45	-20.74
0.0	60.0	0.15	0.0	71	41	30	57.7	23.29	8067.07	12.58	487.76	18067.05	80.67	-12.46
2.0	60.0	0.15	0.0	71	41	30	57.7	23.29	8067.07	12.58	487.76	18067.05	80.67	-12.46
4.0	60.0	0.15	0.0	71	41	30	57.7	23.29	8067.07	12.58	487.76	18067.05	80.67	-12.46
6.0	0.0	0.1	5.0	98	58	40	59.2	23.28	6311.71	11.05	276.7	16311.73	63.12	-11.65
6.0	52.0	0.1	5.0	98	58	40	59.2	23.28	6311.71	11.05	276.7	16311.73	63.12	-11.65
6.0	0.0	0.05	2.0	98	58	40	59.2	23.28	3057.44	11.05	134.0	13057.42	30.57	-6.84
6.0	52.0	0.05	2.0	98	58	40	59.2	23.28	3057.44	11.05	134.0	13057.42	30.57	-6.84
0.0	60.0	0.05	5.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
0.0	60.0	0.05	0.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
2.0	60.0	0.05	5.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
2.0	60.0	0.05	0.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
4.0	60.0	0.05	5.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
4.0	60.0	0.05	0.0	71	41	30	57.7	23.27	2686.53	12.58	162.62	12686.53	26.87	-5.61
2.0	55.0	0.1	3.0	105	64	41	61.0	23.25	5695.82	9.99	233.27	15695.84	56.96	-11.53
6.0	0.0	0.15	5.0	98	58	40	59.2	23.05	8641.67	11.05	382.62	18641.63	86.42	-15.18
6.0	52.0	0.15	5.0	98	58	40	59.2	23.05	8641.67	11.05	382.62	18641.63	86.42	-15.18
6.0	55.0	0.15	3.0	93	56	37	60.2	23.03	6131.43	11.25	286.33	16131.4	61.31	-13.82
6.0	55.0	0.25	5.0	93	56	37	60.2	23.02	10216.86	11.25	477.18	20216.82	102.17	-19.38
6.0	55.0	0.1	3.0	93	56	37	60.2	23.02	5387.46	11.25	251.63	15387.46	53.87	-11.54
6.0	55.0	0.1	2.0	93	56	37	60.2	23.02	4087.29	11.25	190.89	14087.26	40.87	-10.18
6.0	60.0	0.1	0.0	70	40	30	57.1	22.98	5275.5	12.84	327.96	15275.51	52.76	-9.54
6.0	60.0	0.25	0.0	70	40	30	57.1	22.97	13182.93	12.84	819.94	23182.92	131.83	-20.74
6.0	60.0	0.15	0.0	70	40	30	57.1	22.97	7909.98	12.84	491.99	17909.96	79.1	-12.46
4.0	55.0	0.1	3.0	101	61	40	60.4	22.95	5564.21	10.27	240.01	15564.22	55.64	-11.65
4.0	55.0	0.15	3.0	101	61	40	60.4	22.94	6395.33	10.27	276.07	16395.31	63.95	-14.02
6.0	60.0	0.05	5.0	70	40	30	57.1	22.94	2634.17	12.84	164.03	12634.17	26.34	-5.61
6.0	60.0	0.05	0.0	70	40	30	57.1	22.94	2634.17	12.84	164.03	12634.17	26.34	-5.61
4.0	55.0	0.25	5.0	101	61	40	60.4	22.93	10657.52	10.27	460.11	20657.48	106.57	-19.77
