game_id	date	home_team_id	away_team_id	home_off_elo	home_def_elo	away_off_elo	away_def_elo	elo_expected_total	elo_offense_sum	elo_matchup_score	elo_home_edge
634570	2021-04-07	113	134	1675.1	1508.66	1425.76	1441.12	9.603	3100.85	151.07	316.89
634583	2021-04-07	140	141	1554.2	1392.84	1469.91	1547.61	9.401	3024.11	83.66	-70.48
634585	2021-04-07	146	138	1465.43	1503.48	1521.03	1452.99	9.24	2986.46	29.99	-5.12
634589	2021-04-07	114	118	1460.32	1536.43	1589.02	1482.45	9.241	3049.34	30.46	-74.73
634592	2021-04-07	136	145	1463.67	1452.06	1582.99	1501.59	9.429	3046.66	93.01	-168.84
634595	2021-04-07	120	144	1522.87	1472.43	1447.18	1515.25	9.097	2970.04	-17.63	32.87
634598	2021-04-07	116	142	1485.83	1433.73	1580.02	1538.5	9.431	3065.85	93.62	-198.95
634626	2021-04-07	143	121	1461.14	1560.06	1520.34	1500.75	8.912	2981.48	-79.32	0.1
634641	2021-04-07	111	139	1494.26	1479.76	1488.98	1418.5	9.405	2983.24	84.98	66.54
634544	2021-04-08	110	111	1481.44	1537.62	1527.25	1499.98	9.063	3008.69	-28.91	-8.16
634545	2021-04-08	141	108	1440.06	1568.97	1539.39	1471.27	8.968	2979.45	-60.79	-1.63
634546	2021-04-08	117	133	1627.19	1573.53	1387.31	1353.95	9.411	3014.5	87.02	459.46
634550	2021-04-08	142	136	1564.51	1558.43	1491.38	1459.21	9.265	3055.89	38.25	172.36
634555	2021-04-08	134	112	1423.74	1395.93	1431.56	1548.1	8.884	2855.3	-88.73	-159.98
634564	2021-04-08	115	109	1565.68	1436.62	1458.24	1441.59	9.587	3023.92	145.72	102.48
634565	2021-04-08	145	118	1575.84	1473.88	1567.76	1487.12	9.698	3143.6	182.61	-5.16
634568	2021-04-08	138	158	1540.61	1490.49	1440.11	1541.36	8.997	2980.71	-51.13	49.63
634584	2021-04-08	121	146	1501.3	1473.0	1427.93	1483.9	9.067	2929.23	-27.67	62.47
634478	2021-04-09	140	135	1532.85	1422.69	1453.19	1593.0	9.061	2986.04	-29.65	-90.66
634494	2021-04-09	137	115	1447.69	1547.39	1581.51	1449.14	9.248	3029.2	32.67	-35.55
634499	2021-04-09	139	147	1468.75	1385.52	1483.73	1590.17	9.08	2952.48	-23.21	-219.63
634505	2021-04-09	114	116	1455.65	1557.69	1465.9	1449.24	8.894	2921.54	-85.39	98.2
634512	2021-04-09	141	108	1443.61	1548.26	1560.1	1467.72	9.113	3003.71	-12.27	-35.95
634533	2021-04-09	119	120	1576.99	1526.66	1485.48	1491.82	9.282	3062.48	44.0	126.35
634534	2021-04-09	144	143	1427.78	1552.63	1488.89	1579.1	8.505	2916.67	-215.06	-87.58
634537	2021-04-09	117	133	1631.43	1589.06	1371.78	1349.71	9.343	3003.21	64.44	499.0
634540	2021-04-09	109	113	1445.72	1425.76	1720.28	1510.67	9.839	3166.0	229.56	-359.47
632169	2021-04-10	137	115	1434.53	1576.21	1552.69	1462.3	8.996	2987.22	-51.3	-4.25
632191	2021-04-10	119	120	1545.75	1561.67	1450.47	1523.06	8.884	2996.22	-88.51	133.88
632193	2021-04-10	140	135	1497.09	1435.42	1440.46	1628.75	8.77	2937.55	-126.62	-136.7
632195	2021-04-10	134	112	1405.53	1400.79	1426.7	1566.31	8.745	2832.23	-134.87	-186.7
632201	2021-04-10	121	146	1487.68	1491.92	1409.01	1497.51	8.872	2896.69	-92.74	73.07
632202	2021-04-10	117	133	1603.47	1571.85	1389.0	1377.67	9.279	2992.47	42.95	408.65
632205	2021-04-10	142	136	1604.78	1576.82	1472.99	1418.93	9.396	3077.77	82.01	289.68
632217	2021-04-10	139	147	1514.47	1383.88	1485.37	1544.46	9.365	2999.84	71.5	-131.48
632218	2021-04-10	114	116	1450.29	1583.49	1440.1	1454.6	8.707	2890.39	-147.69	139.09
632222	2021-04-10	138	158	1527.43	1517.28	1413.31	1554.54	8.757	2940.74	-131.08	76.85
632227	2021-04-10	141	108	1414.99	1528.55	1579.82	1496.34	9.06	2994.8	-30.09	-132.62
634484	2021-04-10	109	113	1450.08	1420.83	1725.21	1506.31	9.894	3175.29	248.14	-360.62
634491	2021-04-10	110	111	1468.69	1517.37	1547.5	1512.73	9.108	3016.18	-13.92	-74.17
634524	2021-04-10	144	143	1458.21	1579.1	1462.42	1548.67	8.529	2920.63	-207.14	26.22
632170	2021-04-11	145	118	1584.52	1512.13	1529.51	1478.45	9.52	3114.02	123.45	88.69
632188	2021-04-11	137	115	1430.0	1587.65	1541.25	1466.84	8.9	2971.25	-83.23	9.56
632192	2021-04-11	121	146	1450.71	1501.93	1399.0	1534.48	8.59	2849.72	-186.69	19.16
632196	2021-04-11	138	158	1530.88	1478.78	1451.81	1551.09	9.008	2982.69	-47.19	6.76
632200	2021-04-11	110	111	1464.54	1506.09	1558.77	1516.87	9.151	3023.32	0.35	-105.01
632207	2021-04-11	144	143	1463.19	1580.3	1461.22	1543.7	8.551	2924.4	-199.6	38.57
632209	2021-04-11	109	113	1478.23	1440.14	1705.91	1478.16	9.948	3184.13	265.83	-265.71
632214	2021-04-11	119	120	1580.0	1555.0	1457.14	1488.81	9.13	3037.15	-6.66	189.05
632215	2021-04-11	142	136	1587.12	1578.33	1471.48	1436.59	9.281	3058.6	43.68	257.38
632225	2021-04-11	134	112	1436.19	1421.41	1406.08	1535.66	8.806	2842.27	-114.8	-84.14
632228	2021-04-11	114	116	1501.2	1592.05	1431.54	1403.69	8.961	2932.74	-63.0	258.01
632232	2021-04-11	139	147	1509.99	1422.31	1446.94	1548.94	9.107	2956.92	-14.33	-63.57
632233	2021-04-11	140	135	1495.05	1415.54	1460.34	1630.79	8.877	2955.39	-90.95	-180.54
632197	2021-04-12	118	108	1525.09	1494.19	1550.58	1411.59	9.66	3075.67	169.89	57.11
632198	2021-04-12	134	135	1457.38	1449.04	1439.26	1664.74	8.499	2896.64	-217.14	-197.58
632203	2021-04-12	141	147	1499.74	1557.78	1474.35	1553.2	8.739	2974.08	-136.9	29.97
632204	2021-04-12	139	140	1505.72	1394.91	1461.11	1436.62	9.556	2966.83	135.31	2.9
632216	2021-04-12	145	114	1568.77	1516.55	1501.66	1608.19	8.987	3070.43	-54.31	-24.54
632219	2021-04-12	144	146	1475.92	1557.44	1405.47	1521.67	8.557	2881.39	-197.72	106.22
632220	2021-04-12	117	116	1584.85	1547.46	1415.39	1403.23	9.299	3000.24	49.55	313.69
632221	2021-04-12	158	112	1488.46	1563.81	1378.45	1514.47	8.516	2866.9	-211.37	159.35
632230	2021-04-12	138	120	1518.16	1442.14	1423.49	1504.2	9.136	2941.65	-4.68	32.61
632231	2021-04-12	109	133	1497.03	1482.52	1413.39	1396.29	9.245	2910.41	31.6	169.86
634648	2021-04-12	137	113	1425.68	1622.53	1663.53	1459.37	9.172	3089.21	7.31	-74.68
632189	2021-04-13	121	143	1463.52	1495.46	1484.08	1530.97	8.914	2947.6	-78.82	-56.06
632190	2021-04-13	142	111	1594.31	1547.77	1633.51	1480.82	9.748	3227.82	199.23	27.75
632194	2021-04-13	158	112	1499.88	1571.36	1370.9	1503.04	8.539	2870.78	-203.62	197.3
632199	2021-04-13	145	114	1564.52	1528.19	1490.01	1612.45	8.892	3054.53	-86.11	-9.76
632206	2021-04-13	109	133	1497.41	1444.86	1451.04	1395.91	9.473	2948.45	107.69	95.31
632210	2021-04-13	118	108	1509.17	1451.55	1593.23	1427.51	9.82	3102.4	223.34	-60.03
632211	2021-04-13	144	146	1463.82	1549.79	1413.12	1533.77	8.53	2876.93	-206.63	66.72
632212	2021-04-13	119	115	1564.62	1588.65	1506.36	1471.15	9.184	3070.98	11.18	175.75
632213	2021-04-13	110	136	1500.6	1431.36	1502.05	1429.41	9.576	3002.65	141.88	0.51
632224	2021-04-13	110	136	1485.69	1437.05	1496.35	1444.31	9.452	2982.04	100.67	-17.92
632226	2021-04-13	121	143	1459.94	1507.18	1472.35	1534.55	8.822	2932.29	-109.44	-39.77
632229	2021-04-13	117	116	1559.29	1532.29	1430.56	1428.79	9.236	2989.85	28.77	232.23
634489	2021-04-13	139	140	1474.86	1432.49	1423.52	1467.48	9.145	2898.38	-1.59	16.37
634502	2021-04-13	138	120	1496.63	1437.69	1427.94	1525.73	9.033	2924.56	-38.86	-19.35
634510	2021-04-13	137	113	1389.29	1635.52	1650.55	1495.76	8.876	3039.83	-91.44	-121.5
634535	2021-04-13	134	135	1441.15	1436.81	1451.5	1680.96	8.475	2892.65	-225.12	-254.5
634569	2021-04-13	141	147	1471.82	1567.77	1464.35	1581.12	8.512	2936.17	-212.73	-5.87
632223	2021-04-14	142	111	1570.38	1553.83	1627.45	1504.74	9.568	3197.83	139.27	-7.98
634495	2021-04-14	118	108	1494.01	1474.95	1569.83	1442.67	9.589	3063.84	146.22	-43.55
634496	2021-04-14	139	140	1461.49	1404.28	1451.73	1480.85	9.234	2913.22	28.09	-66.82
634513	2021-04-14	141	147	1493.24	1577.29	1454.83	1559.7	8.583	2948.07	-188.92	56.01
634516	2021-04-14	145	114	1528.47	1547.27	1470.93	1648.5	8.561	2999.4	-196.37	-43.69
634521	2021-04-14	117	116	1534.96	1501.85	1461.0	1453.13	9.273	2995.96	40.99	122.68
634523	2021-04-14	134	135	1473.71	1441.16	1447.15	1648.4	8.644	2920.85	-168.71	-180.68
634528	2021-04-14	121	143	1456.53	1542.35	1437.19	1537.96	8.59	2893.72	-186.59	23.74
634541	2021-04-14	138	120	1572.13	1449.45	1416.17	1450.23	9.416	2988.3	88.61	155.18
634553	2021-04-14	158	112	1478.76	1578.55	1363.71	1524.17	8.369	2842.46	-260.25	169.43
634574	2021-04-14	142	111	1539.61	1535.59	1645.68	1535.52	9.493	3185.29	114.18	-106.0
634581	2021-04-14	144	146	1492.29	1470.51	1492.4	1505.29	9.177	2984.69	8.89	-34.88
634582	2021-04-14	137	113	1410.64	1623.88	1662.18	1474.4	9.074	3072.83	-25.45	-102.07
634614	2021-04-14	119	115	1581.17	1622.68	1472.34	1454.59	9.079	3053.51	-23.76	276.91
634472	2021-04-15	110	136	1503.5	1426.48	1506.93	1426.51	9.622	3010.42	157.44	-3.46
634475	2021-04-15	118	141	1503.57	1505.22	1497.64	1578.35	8.903	3001.21	-82.36	-67.2
634481	2021-04-15	120	109	1428.97	1490.36	1497.77	1425.0	9.184	2926.74	11.38	-3.45
634501	2021-04-15	145	114	1558.15	1581.44	1436.76	1618.82	8.534	2994.91	-205.35	84.01
634522	2021-04-15	139	140	1432.75	1401.42	1454.59	1509.59	9.079	2887.35	-23.66	-130.01
634547	2021-04-15	119	115	1572.94	1639.07	1455.95	1462.83	8.931	3028.88	-73.02	293.22
634554	2021-04-15	142	111	1518.31	1550.23	1631.04	1556.82	9.277	3149.35	42.3	-119.31
634571	2021-04-15	110	136	1472.45	1448.41	1484.99	1457.56	9.304	2957.45	51.48	-21.69
634579	2021-04-15	144	146	1495.41	1459.04	1503.87	1502.18	9.264	2999.28	38.06	-51.61
634621	2021-04-15	134	135	1480.7	1469.3	1419.0	1641.41	8.517	2899.7	-211.01	-110.41
634632	2021-04-15	133	116	1470.9	1395.54	1473.98	1460.29	9.417	2944.88	89.05	-67.83
634463	2021-04-16	140	110	1465.32	1512.94	1450.89	1453.29	9.0	2916.21	-50.02	74.08
634464	2021-04-16	147	139	1453.77	1555.3	1429.4	1390.69	8.962	2883.17	-62.83	188.98
634469	2021-04-16	120	109	1439.67	1438.54	1549.59	1414.3	9.559	2989.27	136.43	-85.68
634474	2021-04-16	143	138	1411.71	1533.2	1532.0	1436.66	9.072	2943.71	-26.15	-23.74
634482	2021-04-16	113	114	1625.27	1486.07	1436.23	1638.56	8.961	3061.5	-63.13	36.54
634483	2021-04-16	158	134	1498.65	1609.39	1471.36	1440.1	8.912	2970.0	-79.48	196.58
