date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-20	Chicago Cubs	Philadelphia Phillies	11.35541424097133	11.507133821498986	5.6376753	9.0	2.507133821498986	0.6717355371900828	OVER	15.0	True
2023-05-20	Colorado Rockies	Texas Rangers	10.668437049829285	10.727635139976334	5.0091796	8.5	2.227635139976334	0.6717355371900828	OVER	16.0	True
2023-05-20	Kansas City Royals	Chicago White Sox	8.461033368698772	7.666427828881348	4.4307857	9.0	-1.333572171118652	0.3817153628652215	UNDER	6.0	True
2023-05-20	Baltimore Orioles	Toronto Blue Jays	9.271189161407069	9.410155410246466	4.4209414	9.5	-0.08984458975353427	0.4918930527220016	UNDER	11.0	False
2023-05-20	Arizona Diamondbacks	Pittsburgh Pirates	7.4936568409521245	6.880711429501779	4.1410985	8.5	-1.6192885704982212	0.34788799240626483	UNDER	7.0	True
2023-05-20	Miami Marlins	San Francisco Giants	7.37886624577444	5.780109094017152	4.3983746	7.5	-1.7198909059828482	0.34788799240626483	UNDER	1.0	True
2023-05-20	Detroit Tigers	Washington Nationals	9.011119863454578	9.41242138426593	4.3094406	9.5	-0.08757861573407055	0.4918930527220016	UNDER	7.0	True
2023-05-20	Milwaukee Brewers	Tampa Bay Rays	8.36116056522006	8.41120814033535	4.36914	8.5	-0.08879185966464931	0.4918930527220016	UNDER	12.0	False
2023-05-20	New York Yankees	Cincinnati Reds	9.047954992855608	9.773626918703577	4.311232	10.5	-0.7263730812964226	0.43310131477184843	UNDER	11.0	False
2023-05-20	Oakland Athletics	Houston Astros	8.114435392648009	8.012410578389808	4.3778043	8.75	-0.7375894216101919	0.43310131477184843	UNDER	5.0	True
2023-05-20	Minnesota Twins	Los Angeles Angels	9.071188353473888	7.345754406007083	4.2166066	7.5	-0.1542455939929166	0.4918930527220016	UNDER	8.0	False
2023-05-20	Boston Red Sox	San Diego Padres	8.512397720432707	7.528710312086765	4.2810607	8.25	-0.7212896879132353	0.43310131477184843	UNDER	6.0	True
