date	away_team	home_team	commence_time	snapshot_ts	requested_snapshot_ts	close_total_line	num_books	close_total_line	fanduel_line	pinnacle_line	betmgm_line	draftkings_line	actual_total	season
2023-07-19	Arizona Diamondbacks	Atlanta Braves	2023-07-19 23:20:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	10.0	4	10.0	10.0	10.0	10.0	10.0	8.0	2023.0
2023-07-19	Boston Red Sox	Oakland Athletics	2023-07-19 19:37:00+00:00	2023-07-19 18:55:39+00:00	2023-07-19 19:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	11.0	2023.0
2023-07-19	Chicago White Sox	New York Mets	2023-07-19 23:10:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	9.0	4	9.0	9.0	8.5	9.0	9.0	6.0	2023.0
2023-07-19	Cleveland Guardians	Pittsburgh Pirates	2023-07-19 16:35:00+00:00	2023-07-19 15:55:40+00:00	2023-07-19 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	12.0	2023.0
2023-07-19	Detroit Tigers	Kansas City Royals	2023-07-19 00:10:00+00:00	2023-07-18 21:55:39+00:00	2023-07-18 22:00:00+00:00	8.0	4	8.0	8.5	8.0	8.0	8.0	5.0	2023.0
2023-07-19	Houston Astros	Colorado Rockies	2023-07-19 19:10:00+00:00	2023-07-19 18:55:39+00:00	2023-07-19 19:00:00+00:00	12.5	4	12.5	12.5	12.5	12.5	12.5	5.0	2023.0
2023-07-19	Los Angeles Dodgers	Baltimore Orioles	2023-07-19 17:05:00+00:00	2023-07-19 15:55:40+00:00	2023-07-19 16:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	13.0	2023.0
2023-07-19	Miami Marlins	St. Louis Cardinals	2023-07-19 18:15:00+00:00	2023-07-19 15:55:40+00:00	2023-07-19 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	10.0	2023.0
2023-07-19	Milwaukee Brewers	Philadelphia Phillies	2023-07-19 22:40:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	8.0	2023.0
2023-07-19	Minnesota Twins	Seattle Mariners	2023-07-19 01:40:00+00:00	2023-07-19 00:55:40+00:00	2023-07-19 01:00:00+00:00	7.0	4	7.0	7.0	7.0	7.0	7.0	9.0	2023.0
2023-07-19	New York Yankees	Los Angeles Angels	2023-07-19 01:38:00+00:00	2023-07-19 00:55:40+00:00	2023-07-19 01:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	10.0	2023.0
2023-07-19	San Diego Padres	Toronto Blue Jays	2023-07-19 23:07:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	2.0	2023.0
2023-07-19	San Francisco Giants	Cincinnati Reds	2023-07-19 23:10:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	10.5	4	10.5	10.5	10.5	10.5	10.5	5.0	2023.0
2023-07-19	Tampa Bay Rays	Texas Rangers	2023-07-19 18:05:00+00:00	2023-07-19 15:55:40+00:00	2023-07-19 16:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	6.0	2023.0
2023-07-19	Washington Nationals	Chicago Cubs	2023-07-19 00:05:00+00:00	2023-07-18 21:55:39+00:00	2023-07-18 22:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.5	11.0	2023.0
2023-07-20	Arizona Diamondbacks	Atlanta Braves	2023-07-20 16:20:00+00:00	2023-07-20 15:55:40+00:00	2023-07-20 16:00:00+00:00	9.0	4	9.0	9.0	9.0	9.0	9.0	12.0	2023.0
2023-07-20	Baltimore Orioles	Tampa Bay Rays	2023-07-20 22:40:00+00:00	2023-07-20 21:55:40+00:00	2023-07-20 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	7.0	2023.0
2023-07-20	Chicago White Sox	New York Mets	2023-07-20 17:10:00+00:00	2023-07-20 15:55:40+00:00	2023-07-20 16:00:00+00:00	9.25	4	9.25	9.5	9.0	9.0	9.5	8.0	2023.0
2023-07-20	Detroit Tigers	Kansas City Royals	2023-07-20 00:10:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	3.0	2023.0
2023-07-20	Milwaukee Brewers	Philadelphia Phillies	2023-07-20 16:35:00+00:00	2023-07-20 15:55:40+00:00	2023-07-20 16:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	9.0	4.0	2023.0
2023-07-20	Minnesota Twins	Seattle Mariners	2023-07-20 01:40:00+00:00	2023-07-20 00:55:40+00:00	2023-07-20 01:00:00+00:00	7.5	4	7.5	7.5	7.5	7.5	7.5	5.0	2023.0
2023-07-20	San Diego Padres	Toronto Blue Jays	2023-07-20 17:07:00+00:00	2023-07-20 15:55:40+00:00	2023-07-20 16:00:00+00:00	8.5	4	8.5	8.5	8.5	9.0	8.5	4.0	2023.0
2023-07-20	San Francisco Giants	Cincinnati Reds	2023-07-20 16:35:00+00:00	2023-07-20 15:55:40+00:00	2023-07-20 16:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	6.0	2023.0
2023-07-20	Washington Nationals	Chicago Cubs	2023-07-20 00:05:00+00:00	2023-07-19 21:55:40+00:00	2023-07-19 22:00:00+00:00	9.25	4	9.25	9.0	9.5	9.5	9.0		
2023-07-21	Arizona Diamondbacks	Cincinnati Reds	2023-07-21 23:10:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	11.0	4	11.0	10.5	11.0	11.0	11.0	15.0	2023.0
2023-07-21	Baltimore Orioles	Tampa Bay Rays	2023-07-21 22:40:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	8.0	4	8.0	8.0	8.0	8.0	8.0	3.0	2023.0
2023-07-21	Colorado Rockies	Miami Marlins	2023-07-21 22:40:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.0	8.5	7.0	2023.0
2023-07-21	Houston Astros	Oakland Athletics	2023-07-21 01:40:00+00:00	2023-07-21 00:55:40+00:00	2023-07-21 01:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	10.0	2023.0
2023-07-21	Kansas City Royals	New York Yankees	2023-07-21 23:05:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	8.5	4	8.5	8.5	8.5	8.5	8.5	9.0	2023.0
2023-07-21	New York Mets	Boston Red Sox	2023-07-21 23:10:00+00:00	2023-07-21 21:55:40+00:00	2023-07-21 22:00:00+00:00	9.5	4	9.5	9.5	9.5	9.5	9.5	9.0	2023.0
