date	game_id	away_team	home_team	predicted_total	prediction_std	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_side_market_prob	kalshi_fair_price_pct	kalshi_edge_pct	bet_amount	bet_contracts	risked_amount	actual_total	won	result	pnl_dollars	roi_pct	bankroll_after	skip_reason	settled
2026-04-11	824535	Los Angeles Angels	Cincinnati Reds	8.63	4.325	9.5	0.46	UNDER	54.0	42.0	-4.0	217.0	401.8519	217.0	10.0	False	loss	-217.0	-100.0	25159.84		True
2026-04-11	824697	Pittsburgh Pirates	Chicago Cubs	8.29	4.293	6.5	0.5	OVER	50.0	66.2	16.2	808.0	1616.0	808.0	7.0	True	win	808.0	100.0	25967.84		True
2026-04-11	824857	San Francisco Giants	Baltimore Orioles	8.43	4.336	7.5	0.49	OVER	49.0	58.5	9.5	465.0	948.9796	465.0	8.0	True	win	483.98	104.08	26451.82		True
2026-04-11	824939	Cleveland Guardians	Atlanta Braves	9.4	4.55	8.5	0.47	OVER	47.0	57.9	10.9	513.0	1091.4894	513.0	6.0	False	loss	-513.0	-100.0	25938.82		True
2026-04-12	822828	Minnesota Twins	Toronto Blue Jays	11.11	4.87	7.5	0.54	OVER	54.0	77.1	23.1	1254.0	2322.2222	1254.0	10.0	True	win	1068.22	85.19	27007.05		True
2026-04-12	822998	New York Yankees	Tampa Bay Rays	8.47	4.445	7.5	0.48	OVER	48.0	58.7	10.7	512.0	1066.6667	512.0	9.0	True	win	554.67	108.33	27561.71		True
2026-04-12	823075	Boston Red Sox	St. Louis Cardinals	9.34	4.516	8.5	0.55	OVER	55.0	57.4	2.4	132.0	240.0	132.0	12.0	True	win	108.0	81.82	27669.71		True
2026-04-12	823479	Arizona Diamondbacks	Philadelphia Phillies	8.25	4.387	8.5	0.48	UNDER	52.0	47.8	-0.2	12.0	23.0769	12.0	7.0	True	win	11.08	92.31	27680.79		True
2026-04-12	823642	Athletics	New York Mets	8.04	4.296	7.5	0.44	OVER	44.0	55.0	11.0	489.0	1111.3636	489.0	1.0	False	loss	-489.0	-100.0	27191.79		True
2026-04-12	823804	Washington Nationals	Milwaukee Brewers	9.49	4.312	7.5	0.53	OVER	53.0	67.8	14.8	787.0	1484.9057	787.0	14.0	True	win	697.91	88.68	27889.7		True
2026-04-12	824293	Miami Marlins	Detroit Tigers	9.27	4.384	6.5	0.47	OVER	47.0	73.6	26.6	1257.0	2674.4681	1257.0	10.0	True	win	1417.47	112.77	29307.16		True
2026-04-12	824533	Los Angeles Angels	Cincinnati Reds	9.22	4.461	8.5	0.48	OVER	48.0	56.4	8.4	406.0	845.8333	406.0	15.0	True	win	439.83	108.33	29747.0		True
2026-04-12	824696	Pittsburgh Pirates	Chicago Cubs	8.07	4.309	12.5	0.48	UNDER	52.0	15.2	-32.8	1707.0	3282.6923	1707.0	13.0	False	loss	-1707.0	-100.0	28040.0		True
2026-04-12	824859	San Francisco Giants	Baltimore Orioles	8.67	4.348	8.5	0.5	OVER	50.0	51.6	1.6	78.0	156.0	78.0	8.0	False	loss	-78.0	-100.0	27962.0		True
