date	away_team	home_team	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	total_runs
2025-08-23	San Francisco Giants	Milwaukee Brewers	7.898014480044113	4.276556	0.3198755890478884	0.4747875878249771	8
2025-08-23	Cincinnati Reds	Arizona Diamondbacks	8.873804476865372	4.3120184	0.3728561550726686	0.4216005453502304	11
2025-08-23	Los Angeles Dodgers	San Diego Padres	7.750514727920379	4.115574	0.3105105489840303	0.47393051475635833	6
2025-08-23	Chicago Cubs	Los Angeles Angels	12.63304895352897	4.8943343	0.531180236187387	0.3782360741531021	13
2025-08-23	Minnesota Twins	Chicago White Sox	8.545487641107602	4.3415813	0.34645483199260574	0.457140226069606	10
2025-08-23	Athletics	Seattle Mariners	8.02657171819099	4.016712	0.3191246599306856	0.4695100376044876	3
2025-08-23	New York Mets	Atlanta Braves	9.192814814705974	4.306032	0.39107795659206257	0.45967736333957976	11
2025-08-24	Colorado Rockies	Pittsburgh Pirates	8.586589206333382	4.491975	0.3756713301291261	0.43298392981640166	4
2025-08-24	St. Louis Cardinals	Tampa Bay Rays	8.7089624317301	4.348209	0.40857525769374714	0.40957212537876436	9
2025-08-24	Houston Astros	Baltimore Orioles	8.81773578764987	4.3636622	0.36769270602367266	0.42561318368069	5
2025-08-24	Washington Nationals	Philadelphia Phillies	8.748495796067168	4.3111687	0.4025659829726015	0.41878347486606904	5
2025-08-24	New York Mets	Atlanta Braves	8.479142044856273	4.2336187	0.33232710066936355	0.4806040653621323	7
2025-08-24	Toronto Blue Jays	Miami Marlins	8.261291724691539	4.4244113	0.33948793712756975	0.47050402850261996	8
2025-08-24	Minnesota Twins	Chicago White Sox	9.216583411520862	4.615291	0.4606490467457061	0.4113814005290634	8
2025-08-24	Boston Red Sox	New York Yankees	8.708395481744297	4.3062315	0.404777446423987	0.4107630619441635	9
2025-08-24	San Francisco Giants	Milwaukee Brewers	9.036136710893132	4.4748187	0.432578435574988	0.40873438209644625	7
2025-08-24	Cleveland Guardians	Texas Rangers	7.8712172416823085	4.2994056	0.33269395533702717	0.48476029128185577	5
2025-08-24	Chicago Cubs	Los Angeles Angels	9.791076362689498	4.393053	0.43496213260791644	0.40037584990612335	7
2025-08-24	Athletics	Seattle Mariners	8.216082022987097	4.596828	0.34773914519451005	0.475225878659404	15
2025-08-24	Los Angeles Dodgers	San Diego Padres	6.863141434743196	3.9253852	0.29774893823764664	0.49763593167415926	10
2025-08-24	Cincinnati Reds	Arizona Diamondbacks	8.587638774300222	4.227027	0.3355508119215761	0.4700890013610489	7
2025-08-24	Kansas City Royals	Detroit Tigers	9.392316668077187	4.5844126	0.47688653215448906	0.40368889659992524	18
2025-08-25	Minnesota Twins	Toronto Blue Jays	8.1642574586113	4.3541317	0.34038982096813064	0.4468864271079666	14
2025-08-25	Philadelphia Phillies	New York Mets	8.663677494435923	4.0576286	0.40683888498447285	0.4441646644508011	16
2025-08-25	Boston Red Sox	Baltimore Orioles	9.298637687716905	4.4669003	0.4105286568751131	0.4123890170489914	7
2025-08-25	Atlanta Braves	Miami Marlins	7.924097765630363	4.365424	0.30803377929828507	0.48987916201702425	3
2025-08-25	Tampa Bay Rays	Cleveland Guardians	7.776484293479284	4.3119307	0.3103175729861055	0.4876486370002396	9
2025-08-25	Washington Nationals	New York Yankees	9.257045486603943	4.2364817	0.4078361302962099	0.42929614276043243	15
2025-08-25	Arizona Diamondbacks	Milwaukee Brewers	8.776427096841271	3.9255576	0.4165863365282808	0.42245184272877045	12
2025-08-25	Los Angeles Angels	Texas Rangers	7.872459221084119	4.2641053	0.3152613491167818	0.4831791290675766	4
2025-08-25	San Diego Padres	Seattle Mariners	8.871135240618589	4.3245945	0.4142520100226198	0.40957212537876436	15
2025-08-25	Detroit Tigers	Athletics	9.845398839595152	4.271396	0.42642777267597065	0.3867769429122574	11
2025-08-25	Cincinnati Reds	Los Angeles Dodgers	8.47835064034274	4.2062063	0.36569104496143207	0.46583095878712005	7
2025-08-25	Kansas City Royals	Chicago White Sox	9.151460098778626	4.594441	0.4583714221386199	0.4115488597785599	7
2025-08-25	Pittsburgh Pirates	St. Louis Cardinals	9.314425773572433	4.465989	0.46365884288828424	0.4141761013900406	13
2025-08-26	Minnesota Twins	Toronto Blue Jays	8.381993203278915	4.321791	0.34038982096813064	0.44795015544048616	12
2025-08-26	Philadelphia Phillies	New York Mets	8.193825554742418	4.1271324	0.3520464867701326	0.4580371746455795	11
2025-08-26	Boston Red Sox	Baltimore Orioles	9.678598252051064	4.3481193	0.43394273224971636	0.39705472082248994	5
2025-08-26	Atlanta Braves	Miami Marlins	7.82386356736302	4.2759223	0.3052909165968691	0.49727043599239656	13
2025-08-26	Tampa Bay Rays	Cleveland Guardians	8.059375468358908	4.3898683	0.33538791242740496	0.4639056870376236	3
2025-08-26	Washington Nationals	New York Yankees	9.475253869535791	4.2489843	0.3981856674303804	0.41858663648716277	6
2025-08-26	Kansas City Royals	Chicago White Sox	8.701456920016568	4.340484	0.4082010180105959	0.4070329317485458	9
2025-08-26	Arizona Diamondbacks	Milwaukee Brewers	9.254792427115882	4.1998625	0.4322262615313326	0.42245184272877045	17
