date	away_team	home_team	predicted_total	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_edge_pct	kalshi_fair_price_pct	kalshi_side_model_prob	kalshi_side_market_prob	bet_amount	bet_pct_bankroll	actual_total	result	pnl_dollars	roi_pct	settled	skip_reason
2026-04-03	St. Louis Cardinals	Detroit Tigers	9.38	7.5	0.53	OVER	13.5	66.5	66.5	53.0	567.0	4.308	4.0	loss	-567.0	-100.0	True	
2026-04-03	Philadelphia Phillies	Colorado Rockies	10.43	10.5	0.49		0.4	49.4	49.4	49.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-03	Chicago Cubs	Cleveland Guardians	7.53	7.5	0.49		1.3	50.3	50.3	49.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-03	Toronto Blue Jays	Chicago White Sox	8.87								0.0	0.0	9.0	no_bet	0.0	0.0	False	no_closing_line
2026-04-03	San Diego Padres	Boston Red Sox	8.81	8.5	0.46		6.8	52.8	52.8	46.0	0.0	0.0	7.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-03	Houston Astros	Athletics	10.75	9.5	0.52	OVER	8.6	60.6	60.6	52.0	340.0	2.699	15.0	win	313.85	92.31	True	
2026-04-03	Atlanta Braves	Arizona Diamondbacks	9.98	9.5	0.46		8.0	54.0	54.0	46.0	0.0	0.0	2.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	Los Angeles Dodgers	Washington Nationals	11.46	9.5	0.5	OVER	16.1	66.1	66.1	50.0	623.0	4.826	15.0	win	623.0	100.0	True	
2026-04-04	Cincinnati Reds	Texas Rangers	8.57	8.5	0.52		-1.3	50.7	49.3	48.0	0.0	0.0	2.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-04	New York Mets	San Francisco Giants	10.54	7.5	0.5	OVER	24.7	74.7	74.7	50.0	1001.0	7.397	9.0	win	1001.0	100.0	True	
2026-04-04	Baltimore Orioles	Pittsburgh Pirates	7.87	3.5	0.25	OVER	58.6	83.6	83.6	25.0	1703.0	11.718	5.0	win	5109.0	300.0	True	
2026-04-04	Miami Marlins	New York Yankees	9.25	7.5	0.45	OVER	20.1	65.1	65.1	45.0	1076.0	5.478	16.0	win	1315.11	122.22	True	
2026-04-04	Tampa Bay Rays	Minnesota Twins	9.19	8.5	0.47		9.1	56.1	56.1	47.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	Seattle Mariners	Los Angeles Angels	12.84	9.5	0.49	OVER	26.1	75.1	75.1	49.0	1606.0	7.663	1.0	loss	-1606.0	-100.0	True	
2026-04-04	Milwaukee Brewers	Kansas City Royals	8.56	6.5	0.99		-31.9	67.1	32.9	1.0	0.0	0.0	7.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	Milwaukee Brewers	Kansas City Royals	8.52	6.5	0.99		-31.9	67.1	32.9	1.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	St. Louis Cardinals	Detroit Tigers	8.15	7.5	0.52		3.9	55.9	55.9	52.0	0.0	0.0	17.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-04	Philadelphia Phillies	Colorado Rockies	9.05	10.5	0.46	UNDER	-8.2	37.8	62.2	54.0	520.0	2.687	3.0	win	442.96	85.19	True	
2026-04-04	Toronto Blue Jays	Chicago White Sox	9.0	8.5	0.49		5.2	54.2	54.2	49.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	San Diego Padres	Boston Red Sox	8.29	7.5	0.48		9.0	57.0	57.0	48.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-04	Houston Astros	Athletics	10.66	9.5	0.53	OVER	6.5	59.5	59.5	53.0	412.0	2.081	11.0	win	365.36	88.68	True	
2026-04-04	Atlanta Braves	Arizona Diamondbacks	8.38	9.5	0.51	UNDER	-10.8	40.2	59.8	49.0	642.0	3.185	3.0	win	668.2	104.08	True	
2026-04-05	Los Angeles Dodgers	Washington Nationals	11.58	8.5	0.54	OVER	20.2	74.2	74.2	54.0	1369.0	6.573	14.0	win	1166.19	85.19	True	
2026-04-05	Cincinnati Reds	Texas Rangers	8.29	7.5	0.47		10.0	57.0	57.0	47.0	0.0	0.0	3.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-05	New York Mets	San Francisco Giants	9.92	7.5	0.46	OVER	23.2	69.2	69.2	46.0	1419.0	6.452	7.0	loss	-1419.0	-100.0	True	
2026-04-05	Baltimore Orioles	Pittsburgh Pirates	7.97	8.5	0.46		-0.8	45.2	54.8	54.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-05	Miami Marlins	New York Yankees	9.37	8.5	0.49		8.3	57.3	57.3	49.0	0.0	0.0	13.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-05	Tampa Bay Rays	Minnesota Twins	8.92	7.5	0.54	OVER	8.4	62.4	62.4	54.0	563.0	2.736	5.0	loss	-563.0	-100.0	True	
2026-04-05	Seattle Mariners	Los Angeles Angels	11.72	9.5	0.46	OVER	21.0	67.0	67.0	46.0	1165.0	5.821	15.0	win	1367.61	117.39	True	
2026-04-05	Milwaukee Brewers	Kansas City Royals	9.27	7.5	0.49	OVER	15.9	64.9	64.9	49.0	1003.0	4.691	13.0	win	1043.94	104.08	True	
2026-04-05	St. Louis Cardinals	Detroit Tigers	7.9	8.5	0.48		-3.3	44.7	55.3	52.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-05	Philadelphia Phillies	Colorado Rockies	10.79	11.5	0.48		-3.8	44.2	55.8	52.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-05	Chicago Cubs	Cleveland Guardians	7.57	7.5	0.47		3.6	50.6	50.6	47.0	0.0	0.0	1.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-05	Chicago Cubs	Cleveland Guardians	8.22	7.5	0.47		9.4	56.4	56.4	47.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-05	Toronto Blue Jays	Chicago White Sox	9.48	7.5	0.54	OVER	13.1	67.1	67.1	54.0	960.0	4.281	3.0	loss	-960.0	-100.0	True	
2026-04-05	San Diego Padres	Boston Red Sox	8.63	9.5	0.48	UNDER	-5.6	42.4	57.6	52.0	378.0	1.761	14.0	loss	-378.0	-100.0	True	
2026-04-05	Houston Astros	Athletics	9.05	10.5	0.46	UNDER	-8.7	37.3	62.7	54.0	600.0	2.845	22.0	loss	-600.0	-100.0	True	
2026-04-05	Atlanta Braves	Arizona Diamondbacks	8.89	9.5	0.46		-1.4	44.6	55.4	54.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-06	St. Louis Cardinals	Washington Nationals	9.48	8.5	0.48	OVER	10.5	58.5	58.5	48.0	618.0	3.017	15.0	win	669.5	108.33	True	
2026-04-06	Los Angeles Dodgers	Toronto Blue Jays	9.87	9.5	0.44		9.1	53.1	53.1	44.0	0.0	0.0	16.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-06	Seattle Mariners	Texas Rangers	9.98	7.5	0.54	OVER	16.4	70.4	70.4	54.0	1131.0	5.346	3.0	loss	-1131.0	-100.0	True	
2026-04-06	Chicago Cubs	Tampa Bay Rays	8.71	7.5	0.53	OVER	7.7	60.7	60.7	53.0	490.0	2.447	10.0	win	434.53	88.68	True	
2026-04-06	Philadelphia Phillies	San Francisco Giants	8.31	8.5	0.48		0.4	48.4	48.4	48.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-06	San Diego Padres	Pittsburgh Pirates	7.66	8.5	0.51		-8.3	42.7	57.3	49.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-06	Detroit Tigers	Minnesota Twins	8.77	6.5	0.57	OVER	12.5	69.5	69.5	57.0	892.0	4.36	10.0	win	672.91	75.44	True	
2026-04-06	Cincinnati Reds	Miami Marlins	10.21	8.5	0.47	OVER	17.4	64.4	64.4	47.0	1038.0	4.912	2.0	loss	-1038.0	-100.0	True	
2026-04-06	Atlanta Braves	Los Angeles Angels	8.49	7.5	0.51	OVER	7.7	58.7	58.7	51.0	473.0	2.354	8.0	win	454.45	96.08	True	
2026-04-06	Houston Astros	Colorado Rockies	9.49	10.5	0.52	UNDER	-11.0	41.0	59.0	48.0	650.0	3.163	16.0	loss	-650.0	-100.0	True	
2026-04-06	Kansas City Royals	Cleveland Guardians	8.06	7.5	0.45		10.0	55.0	55.0	45.0	0.0	0.0	6.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-06	Baltimore Orioles	Chicago White Sox	8.34	8.5	0.49		-0.4	48.6	51.4	51.0	0.0	0.0	3.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-06	Milwaukee Brewers	Boston Red Sox	8.02	8.5	0.48		-2.3	45.7	54.3	52.0	0.0	0.0	14.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-07	St. Louis Cardinals	Washington Nationals	9.96	7.5	0.45	OVER	24.8	69.8	69.8	45.0	1346.0	6.764	13.0	win	1645.11	122.22	True	
2026-04-07	Los Angeles Dodgers	Toronto Blue Jays	8.66	7.5	0.49	OVER	10.8	59.8	59.8	49.0	686.0	3.184	5.0	loss	-686.0	-100.0	True	
2026-04-07	Seattle Mariners	Texas Rangers	9.41	7.5	0.52	OVER	14.5	66.5	66.5	52.0	948.0	4.545	5.0	loss	-948.0	-100.0	True	
2026-04-07	Chicago Cubs	Tampa Bay Rays	9.05	8.5	0.5		4.9	54.9	54.9	50.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-07	Philadelphia Phillies	San Francisco Giants	8.65	7.5	0.47	OVER	13.0	60.0	60.0	47.0	731.0	3.672	6.0	loss	-731.0	-100.0	True	
2026-04-07	San Diego Padres	Pittsburgh Pirates	8.57	6.5	0.46	OVER	21.6	67.6	67.6	46.0	1153.0	6.012	8.0	win	1353.52	117.39	True	
2026-04-07	Athletics	New York Yankees	8.03	8.5	0.47		-1.3	45.7	54.3	53.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-07	Arizona Diamondbacks	New York Mets	9.14	7.5	0.45	OVER	19.3	64.3	64.3	45.0	1080.0	5.26	7.0	loss	-1080.0	-100.0	True	
2026-04-07	Detroit Tigers	Minnesota Twins	8.71	6.5	0.52	OVER	17.0	69.0	69.0	52.0	1035.0	5.321	6.0	loss	-1035.0	-100.0	True	
2026-04-07	Cincinnati Reds	Miami Marlins	9.2	7.5	0.45	OVER	19.6	64.6	64.6	45.0	985.0	5.348	9.0	win	1203.89	122.22	True	
2026-04-07	Atlanta Braves	Los Angeles Angels	9.7	8.5	0.53	OVER	7.5	60.5	60.5	53.0	467.0	2.38	9.0	win	414.13	88.68	True	
2026-04-07	Houston Astros	Colorado Rockies	9.13	10.5	0.54	UNDER	-16.3	37.7	62.3	46.0	908.0	4.532	6.0	win	1065.91	117.39	True	
2026-04-07	Kansas City Royals	Cleveland Guardians	7.83	6.5	0.46	OVER	15.6	61.6	61.6	46.0	913.0	4.327	3.0	loss	-913.0	-100.0	True	
2026-04-07	Baltimore Orioles	Chicago White Sox	8.67	6.5	0.52	OVER	17.1	69.1	69.1	52.0	1077.0	5.335	6.0	loss	-1077.0	-100.0	True	
2026-04-07	Milwaukee Brewers	Boston Red Sox	9.12	6.5	0.46	OVER	25.6	71.6	71.6	46.0	1357.0	7.101	5.0	loss	-1357.0	-100.0	True	
2026-04-08	St. Louis Cardinals	Washington Nationals	10.84	8.5	0.52	OVER	16.8	68.8	68.8	52.0	934.0	5.261	7.0	loss	-934.0	-100.0	True	
2026-04-08	Los Angeles Dodgers	Toronto Blue Jays	9.01	7.5	0.49	OVER	13.6	62.6	62.6	49.0	672.0	3.995	7.0	loss	-672.0	-100.0	True	
2026-04-08	Seattle Mariners	Texas Rangers	9.59	7.5	0.48	OVER	20.0	68.0	68.0	48.0	932.0	5.772	3.0	loss	-932.0	-100.0	True	
2026-04-08	Chicago Cubs	Tampa Bay Rays	8.86	8.5	0.46		7.2	53.2	53.2	46.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-08	Philadelphia Phillies	San Francisco Giants	8.43	8.5	0.48		1.4	49.4	49.4	48.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-08	San Diego Padres	Pittsburgh Pirates	8.05	7.5	0.43		11.9	54.9	54.9	43.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-08	Athletics	New York Yankees	8.39	7.5	0.54		4.2	58.2	58.2	54.0	0.0	0.0	5.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-08	Arizona Diamondbacks	New York Mets	10.18	7.5	0.49	OVER	23.4	72.4	72.4	49.0	1049.0	6.894	9.0	win	1091.82	104.08	True	
2026-04-08	Detroit Tigers	Minnesota Twins	9.42	7.5	0.53	OVER	13.9	66.9	66.9	53.0	721.0	4.421	14.0	win	639.38	88.68	True	
2026-04-08	Cincinnati Reds	Miami Marlins	8.76	7.5	0.52	OVER	9.2	61.2	61.2	52.0	486.0	2.868	11.0	win	448.62	92.31	True	
2026-04-08	Atlanta Braves	Los Angeles Angels	9.3	8.5	0.52		5.0	57.0	57.0	52.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-08	Houston Astros	Colorado Rockies	10.47	11.5	0.46		-4.9	41.1	58.9	54.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-08	Kansas City Royals	Cleveland Guardians	7.92	6.5	0.55	OVER	7.4	62.4	62.4	55.0	430.0	2.472	12.0	win	351.82	81.82	True	
2026-04-08	Baltimore Orioles	Chicago White Sox	8.14	7.5	0.49		6.7	55.7	55.7	49.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-08	Milwaukee Brewers	Boston Red Sox	8.99	7.5	0.46	OVER	16.9	62.9	62.9	46.0	834.0	4.699	5.0	loss	-834.0	-100.0	True	
2026-04-09	Colorado Rockies	San Diego Padres	8.46	7.5	0.5	OVER	8.3	58.3	58.3	50.0	423.0	2.501	10.0	win	423.0	100.0	True	
2026-04-09	Athletics	New York Yankees	8.44	8.5	0.46		3.4	49.4	49.4	46.0	0.0	0.0	1.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-09	Arizona Diamondbacks	New York Mets	8.44	6.5	0.52	OVER	14.8	66.8	66.8	52.0	800.0	4.615	8.0	win	738.46	92.31	True	
2026-04-09	Detroit Tigers	Minnesota Twins	8.67	8.5	0.46		5.5	51.5	51.5	46.0	0.0	0.0	4.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-09	Cincinnati Reds	Miami Marlins	10.12	8.5	0.46	OVER	17.6	63.6	63.6	46.0	883.0	4.885	9.0	win	1036.57	117.39	True	
2026-04-09	Chicago White Sox	Kansas City Royals	8.11	9.5	0.48	UNDER	-10.5	37.5	62.5	52.0	628.0	3.286	2.0	win	579.69	92.31	True	
2026-04-10	Minnesota Twins	Toronto Blue Jays	8.72	8.5	0.55		-3.0	52.0	48.0	45.0	0.0	0.0	14.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	New York Yankees	Tampa Bay Rays	8.75	8.5	0.5		2.3	52.3	52.3	50.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Boston Red Sox	St. Louis Cardinals	9.31	7.5	0.48	OVER	17.4	65.4	65.4	48.0	987.0	5.012	5.0	loss	-987.0	-100.0	True	
2026-04-10	Houston Astros	Seattle Mariners	7.78	7.5	0.53		-0.5	52.5	47.5	47.0	0.0	0.0	15.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Colorado Rockies	San Diego Padres	9.21	8.5	0.46		10.2	56.2	56.2	46.0	0.0	0.0	7.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-10	Arizona Diamondbacks	Philadelphia Phillies	8.08	7.5	0.55		0.1	55.1	55.1	55.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Athletics	New York Mets	8.92	7.5	0.52	OVER	10.4	62.4	62.4	52.0	608.0	3.251	4.0	loss	-608.0	-100.0	True	
2026-04-10	Washington Nationals	Milwaukee Brewers	8.76	8.5	0.5		2.3	52.3	52.3	50.0	0.0	0.0	10.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Texas Rangers	Los Angeles Dodgers	8.69	8.5	0.49		2.7	51.7	51.7	49.0	0.0	0.0	15.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Chicago White Sox	Kansas City Royals	7.87	7.5	0.49		4.3	53.3	53.3	49.0	0.0	0.0	2.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Miami Marlins	Detroit Tigers	8.51	8.5	0.49		1.1	50.1	50.1	49.0	0.0	0.0	2.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Los Angeles Angels	Cincinnati Reds	8.17	8.5	0.52		-4.9	47.1	52.9	48.0	0.0	0.0	12.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Pittsburgh Pirates	Chicago Cubs	9.13	6.5	0.51	OVER	21.4	72.4	72.4	51.0	1186.0	6.554	2.0	loss	-1186.0	-100.0	True	
2026-04-10	San Francisco Giants	Baltimore Orioles	8.14	8.5	0.47		-0.2	46.8	53.2	53.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-10	Cleveland Guardians	Atlanta Braves	9.9	8.5	0.5	OVER	11.0	61.0	61.0	50.0	561.0	3.317	16.0	win	561.0	100.0	True	
2026-04-11	Minnesota Twins	Toronto Blue Jays	8.47	8.5	0.47		2.7	49.7	49.7	47.0	0.0	0.0	11.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-11	New York Yankees	Tampa Bay Rays	8.75	7.5	0.5	OVER	11.0	61.0	61.0	50.0	575.0	3.291	9.0	win	575.0	100.0	True	
2026-04-11	Boston Red Sox	St. Louis Cardinals	8.62	7.5	0.51	OVER	8.8	59.8	59.8	51.0	488.0	2.704	8.0	win	468.86	96.08	True	
2026-04-11	Houston Astros	Seattle Mariners	7.74	7.5	0.49		3.1	52.1	52.1	49.0	0.0	0.0	15.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-11	Colorado Rockies	San Diego Padres	7.87	8.5	0.47		-2.5	44.5	55.5	53.0	0.0	0.0	14.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-11	Arizona Diamondbacks	Philadelphia Phillies	8.5	8.5	0.54		-4.0	50.0	50.0	46.0	0.0	0.0	7.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-11	Athletics	New York Mets	8.7	7.5	0.51	OVER	9.7	60.7	60.7	51.0	549.0	2.965	17.0	win	527.47	96.08	True	
2026-04-11	Washington Nationals	Milwaukee Brewers	9.39	7.5	0.53	OVER	11.5	64.5	64.5	53.0	701.0	3.681	4.0	loss	-701.0	-100.0	True	
2026-04-11	Texas Rangers	Los Angeles Dodgers	8.26	8.5	0.47		0.9	47.9	47.9	47.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	edge_below_threshold
